NA_Sales_Log,JP_Sales_Log,EU_Sales_Log,Other_Sales_Log,Critic_Count,User_Count,Microsoft,Nintendo,Other,PC,PlayStation,Action,Casual,RPG,Simulation,Sports,Strategy,Global_Sales
1.1878434223960523,1.5325568680981427,1.000631880307906,0.20701416938432612,24,658.0,0,0,0,0,1,0,0,1,0,0,0,7.86
2.1138429683971687,0.0,0.371563556432483,0.0769610411361284,21,25.0,0,0,1,0,0,0,1,0,0,0,0,7.81
1.324418957401803,1.3056264580524357,1.000631880307906,0.43178241642553783,46,204.0,0,1,0,0,0,0,0,1,0,0,0,7.72
1.3609765531356006,0.2151113796169455,1.3376291891386096,1.0043016091968684,65,453.0,0,0,0,0,1,1,0,0,0,0,0,7.69
1.3428648031925547,0.1310282624064042,1.4996230464268938,0.8064758658669485,39,1446.0,0,0,0,0,1,1,0,0,0,0,0,7.68
1.4586150226995167,1.235471471385307,0.8754687373538999,0.3920420877760237,21,25.0,0,1,0,0,0,1,0,0,0,0,0,7.62
1.62924053973028,0.8960880245566357,1.0612565021243408,0.14842000511827322,21,25.0,0,1,0,0,0,1,0,0,0,0,0,7.6
1.5644405465033644,0.8372475245337022,1.1537315878891892,0.2700271372130602,21,25.0,0,0,0,0,1,1,0,0,0,0,0,7.58
1.5216989981260935,0.6830968447064438,1.2119409739751128,0.4824261492442928,87,1859.0,0,1,0,0,0,1,0,0,0,0,0,7.54
1.8547342683894434,0.5306282510621704,0.7793248768009975,0.17395330712343798,21,25.0,0,1,0,0,0,1,0,0,0,0,0,7.46
1.7263316639055997,0.01980262729617973,1.1378330018213911,0.5247285289349821,21,25.0,1,0,0,0,0,1,0,0,0,0,0,7.44
1.763017000362401,0.0,1.0647107369924282,0.5306282510621704,84,583.0,1,0,0,0,0,1,0,0,0,0,0,7.42
1.275362800412609,0.2151113796169455,1.4861396960896067,0.7747271675523681,58,4258.0,0,0,0,0,1,0,0,1,0,0,0,7.41
1.6992786164338898,0.058268908123975824,1.1346227261911428,0.5247285289349821,57,2144.0,1,0,0,0,0,1,0,0,0,0,0,7.33
1.366091653802371,0.17395330712343798,1.3812818192963463,0.7793248768009975,113,7238.0,0,0,0,0,1,1,0,0,0,0,0,7.28
1.4279160358107101,0.8285518175661483,1.1786549963416462,0.41871033485818504,82,1607.0,0,1,0,0,0,0,0,0,0,1,0,7.23
1.451613827240533,0.0769610411361284,1.3428648031925547,0.7030975114131134,33,172.0,0,0,0,0,1,0,0,0,0,1,0,7.2
1.4996230464268938,0.0,1.3837912309017721,0.5481214085096876,21,110.0,0,1,0,0,0,0,1,0,0,0,0,7.2
1.3506671834767394,0.30010459245033816,1.358409157630355,0.7323678937132266,38,1762.0,0,0,0,0,1,1,0,0,0,0,0,7.18
1.451613827240533,0.8754687373538999,1.169381359556317,0.25464221837358075,15,371.0,0,0,0,0,1,1,0,0,0,0,0,7.16
1.556037135706985,0.47000362924573563,1.144222799920162,0.5187937934151676,73,1664.0,0,1,0,0,0,1,0,0,0,0,0,7.16
1.5432981099295553,0.883767540168595,1.0116009116784799,0.2468600779315258,12,439.0,0,0,0,0,1,1,0,0,0,0,0,7.13
1.6882490928583902,0.8712933659434192,0.712949807856125,0.19885085874516517,38,573.0,0,1,0,0,0,1,0,0,0,0,0,7.07
1.6331544390514163,0.6259384308664954,1.0188473201992472,0.17395330712343798,21,25.0,0,1,0,0,0,0,0,0,0,1,0,6.95
1.3110318766193438,0.0769610411361284,1.3912819026309295,0.7371640659767196,39,132.0,0,0,0,0,1,0,0,0,0,1,0,6.9
1.3686394258811698,0.1570037488096647,1.3217558399823195,0.688134638736401,29,137.0,0,0,0,0,1,1,0,0,0,0,0,6.83
1.4422019930581866,0.6626879730752367,1.208960345836975,0.26236426446749106,21,25.0,0,0,0,0,1,1,0,0,0,0,0,6.82
1.6193882432872684,0.0,1.1505720275988207,0.4382549309311553,10,29.0,0,1,0,0,0,0,1,0,0,0,0,6.76
1.6389967146756448,0.058268908123975824,1.0647107369924282,0.4946962418361071,90,2746.0,1,0,0,0,0,1,0,0,0,0,0,6.75
1.3270750014599193,0.17395330712343798,1.3217558399823195,0.7080357930536961,97,3732.0,0,0,0,0,1,1,0,0,0,0,0,6.74
1.4951487660319727,0.0,1.2809338454620642,0.506817602368452,21,25.0,0,1,0,0,0,0,0,0,0,1,0,6.72
1.413423028508143,0.2468600779315258,1.1817271953786161,0.7080357930536961,44,994.0,0,0,0,0,1,1,0,0,0,0,0,6.69
1.451613827240533,0.1906203596086497,1.1631508098056809,0.6830968447064438,105,5226.0,0,0,0,0,1,1,0,0,0,0,0,6.67
0.6097655716208942,0.10436001532424286,1.667706820558076,0.8754687373538999,21,25.0,0,0,0,0,1,0,0,0,0,1,0,6.65
0.9783261227936078,0.9555114450274363,1.3217558399823195,0.4824261492442928,45,27.0,0,1,0,0,0,0,1,0,0,0,0,6.63
1.556037135706985,0.9895411936137477,0.6575200029167942,0.1310282624064042,21,25.0,0,1,0,0,0,1,0,0,0,0,0,6.51
1.33500106673234,0.1570037488096647,1.2612978709452054,0.6931471805599453,73,2475.0,0,0,0,0,1,1,0,0,0,0,0,6.51
0.5822156198526637,0.06765864847381486,1.6563214983329508,0.8671004876833833,37,576.0,0,0,0,0,1,0,0,0,0,1,0,6.48
1.430311246536665,0.7080357930536961,1.0296194171811581,0.37843643572024505,77,368.0,0,1,0,0,0,1,0,0,0,0,0,6.47
1.2947271675944,0.14842000511827322,1.2584609896100056,0.7514160886839212,41,1314.0,0,0,0,0,1,1,0,0,0,0,0,6.46
1.7884205679625405,0.0769610411361284,0.8329091229351039,0.06765864847381486,68,1292.0,1,0,0,0,0,1,0,0,0,0,0,6.43
1.269760544863939,0.22314355131420976,1.2837077723447896,0.6931471805599453,16,2530.0,0,0,0,0,1,0,0,1,0,0,0,6.42
1.2725655957915476,1.1184149159642893,0.9477893989335261,0.1906203596086497,28,223.0,0,1,0,0,0,0,0,1,0,0,0,6.41
1.534714366238164,0.9122827104766164,0.7884573603642703,0.06765864847381486,46,610.0,0,0,0,0,1,0,0,1,0,0,0,6.4
1.2669476034873244,0.8285518175661483,0.9400072584914712,0.688134638736401,21,25.0,0,1,0,0,0,0,0,1,0,0,0,6.39
1.5496879080283263,0.08617769624105241,1.0885619528146082,0.4574248470388755,96,2327.0,1,0,0,0,0,1,0,0,0,0,0,6.35
1.6752256529721035,0.058268908123975824,0.85015092936961,0.47623417899637155,94,1166.0,1,0,0,0,0,1,0,0,0,0,0,6.34
1.6114359150967734,0.6259384308664954,0.8153648132841944,0.1570037488096647,61,444.0,0,1,0,0,0,1,0,0,0,0,0,6.31
